id,aggregated_by,aggregate_name,year,start_date,end_date,brand,count,percentage
114,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Oppo,501,0.07433234421364986
115,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,OnePlus,332,0.04925816023738872
116,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Realme,316,0.04688427299703264
117,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Apple,229,0.03397626112759644
118,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Motorola,226,0.03353115727002967
119,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Lenovo,202,0.02997032640949555
120,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Huawei,158,0.02344213649851632
121,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Others,684,0.10148367952522255
122,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Xiaomi,2303,0.24486975013290802
123,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Samsung,1923,0.20446570972886763
124,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Vivo,1523,0.1619351408825093
125,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Oppo,708,0.07527910685805422
126,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,OnePlus,466,0.049548112706007445
127,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Realme,465,0.049441786283891544
128,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Motorola,319,0.03391812865497076
129,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Apple,308,0.03274853801169591
130,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Lenovo,244,0.025943646996278574
131,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Huawei,230,0.024455077086656035
132,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Others,916,0.09739500265816055
133,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Xiaomi,2950,0.24281833895793892
134,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Samsung,2409,0.19828792493209318
135,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Vivo,2063,0.1698082146678739
136,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Oppo,988,0.08132356572557412
137,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,OnePlus,617,0.05078607292781299
138,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Realme,603,0.04963371470902955
139,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Motorola,390,0.03210140752325294
140,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Apple,371,0.03053749279776113
141,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Huawei,314,0.0258457486212857
142,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Lenovo,299,0.024611079101160588
143,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Others,1145,0.09424644003621697
144,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Xiaomi,3719,0.24431743529102615
145,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Samsung,2936,0.19287872815661541
146,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Vivo,2742,0.1801340165549862
147,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Oppo,1268,0.08330048613848377
148,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Realme,760,0.04992773617133097
149,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,OnePlus,721,0.0473656549730653
150,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Motorola,474,0.031139140717382736
151,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Apple,455,0.02989094731309946
152,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Huawei,398,0.02614636710024964
153,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Lenovo,377,0.024766784916568124
154,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Others,1372,0.09013270266719223
155,state,tamil-nadu,2019,2019-01-01,2019-03-31,Xiaomi,1539941,0.24457860430160366
156,state,tamil-nadu,2019,2019-01-01,2019-03-31,Samsung,1181910,0.18771491778588165
157,state,tamil-nadu,2019,2019-01-01,2019-03-31,Vivo,982792,0.15609032792735675
158,state,tamil-nadu,2019,2019-01-01,2019-03-31,Oppo,574119,0.09118350879873476
159,state,tamil-nadu,2019,2019-01-01,2019-03-31,Motorola,263727,0.041886008344896995
160,state,tamil-nadu,2019,2019-01-01,2019-03-31,Realme,239102,0.03797498309722388
161,state,tamil-nadu,2019,2019-01-01,2019-03-31,Apple,223033,0.035422850520376796
162,state,tamil-nadu,2019,2019-01-01,2019-03-31,Lenovo,220455,0.035013403897493495
163,state,tamil-nadu,2019,2019-01-01,2019-03-31,OnePlus,209025,0.03319805288913193
164,state,tamil-nadu,2019,2019-01-01,2019-03-31,Huawei,206764,0.0328389532714674
165,state,tamil-nadu,2019,2019-01-01,2019-03-31,Others,655435,0.10409838916583271
166,state,tamil-nadu,2019,2019-04-01,2019-06-30,Xiaomi,1811254,0.24378860314183426
167,state,tamil-nadu,2019,2019-04-01,2019-06-30,Samsung,1396893,0.18801702754478736
168,state,tamil-nadu,2019,2019-04-01,2019-06-30,Vivo,1196063,0.16098599535991734
169,state,tamil-nadu,2019,2019-04-01,2019-06-30,Oppo,697196,0.09384020074273088
170,state,tamil-nadu,2019,2019-04-01,2019-06-30,Motorola,303963,0.04091238179559651
171,state,tamil-nadu,2019,2019-04-01,2019-06-30,Realme,281300,0.03786201938756131
172,state,tamil-nadu,2019,2019-04-01,2019-06-30,Apple,254300,0.03422791158996388
173,state,tamil-nadu,2019,2019-04-01,2019-06-30,Lenovo,251562,0.03385938613997049
174,state,tamil-nadu,2019,2019-04-01,2019-06-30,Huawei,248271,0.03341642877841889
175,state,tamil-nadu,2019,2019-04-01,2019-06-30,OnePlus,232848,0.031340545646480186
176,state,tamil-nadu,2019,2019-04-01,2019-06-30,Others,755959,0.10174949987273893
177,state,tamil-nadu,2019,2019-07-01,2019-09-30,Xiaomi,2046907,0.24284577880573058
178,state,tamil-nadu,2019,2019-07-01,2019-09-30,Samsung,1578951,0.1873273115442407
179,state,tamil-nadu,2019,2019-07-01,2019-09-30,Vivo,1404873,0.16667463534403035
180,state,tamil-nadu,2019,2019-07-01,2019-09-30,Oppo,809503,0.09603972553739633
181,state,tamil-nadu,2019,2019-07-01,2019-09-30,Motorola,331659,0.03934814241825828
182,state,tamil-nadu,2019,2019-07-01,2019-09-30,Realme,325676,0.03863831715770922
183,state,tamil-nadu,2019,2019-07-01,2019-09-30,Huawei,287625,0.034123932904132064
184,state,tamil-nadu,2019,2019-07-01,2019-09-30,Apple,280108,0.03323211333476097
185,state,tamil-nadu,2019,2019-07-01,2019-09-30,Lenovo,263109,0.031215345892997074
186,state,tamil-nadu,2019,2019-07-01,2019-09-30,OnePlus,253980,0.03013227806689774
187,state,tamil-nadu,2019,2019-07-01,2019-09-30,Others,846444,0.10042241899384671
188,state,tamil-nadu,2019,2019-10-01,2019-12-31,Xiaomi,2321854,0.2413445963735954
189,state,tamil-nadu,2019,2019-10-01,2019-12-31,Samsung,1803401,0.18745411487748082
190,state,tamil-nadu,2019,2019-10-01,2019-12-31,Vivo,1661144,0.17266724272862108
191,state,tamil-nadu,2019,2019-10-01,2019-12-31,Oppo,954430,0.09920801356021984
192,state,tamil-nadu,2019,2019-10-01,2019-12-31,Realme,385827,0.04010470149502733
193,state,tamil-nadu,2019,2019-10-01,2019-12-31,Motorola,364512,0.03788911857219791
194,state,tamil-nadu,2019,2019-10-01,2019-12-31,Huawei,329271,0.03422600068416452
195,state,tamil-nadu,2019,2019-10-01,2019-12-31,Apple,306135,0.03182113432232631
196,state,tamil-nadu,2019,2019-10-01,2019-12-31,Lenovo,283182,0.02943528985468832
197,state,tamil-nadu,2019,2019-10-01,2019-12-31,OnePlus,275013,0.028586164970963546
198,state,tamil-nadu,2019,2019-10-01,2019-12-31,Others,935724,0.09726362256071493
199,state,tamil-nadu,2021,2021-01-01,2021-03-31,Xiaomi,3887022,0.23369888835232575
200,state,tamil-nadu,2021,2021-01-01,2021-03-31,Vivo,3309321,0.1989658506952127
201,state,tamil-nadu,2021,2021-01-01,2021-03-31,Samsung,3143951,0.18902333296137322
202,state,tamil-nadu,2021,2021-01-01,2021-03-31,Oppo,1825392,0.1097477918075145
203,state,tamil-nadu,2021,2021-01-01,2021-03-31,Realme,782154,0.04702533721710991
204,state,tamil-nadu,2021,2021-01-01,2021-03-31,Huawei,522223,0.03139754150401428
205,state,tamil-nadu,2021,2021-01-01,2021-03-31,Motorola,518191,0.03115512612333556
206,state,tamil-nadu,2021,2021-01-01,2021-03-31,Apple,449432,0.027021138236408865
207,state,tamil-nadu,2021,2021-01-01,2021-03-31,Lenovo,389630,0.023425670826848082
208,state,tamil-nadu,2021,2021-01-01,2021-03-31,OnePlus,369966,0.022243414863141128
209,state,tamil-nadu,2021,2021-01-01,2021-03-31,Others,1435326,0.08629590741271603
210,state,tamil-nadu,2021,2021-04-01,2021-06-30,Xiaomi,4159447,0.23361718599669679
211,state,tamil-nadu,2021,2021-04-01,2021-06-30,Vivo,3648711,0.20493147198057665
212,state,tamil-nadu,2021,2021-04-01,2021-06-30,Samsung,3335419,0.1873352878158843
213,state,tamil-nadu,2021,2021-04-01,2021-06-30,Oppo,1982731,0.11136096620738686
214,state,tamil-nadu,2021,2021-04-01,2021-06-30,Realme,924040,0.05189911652880484
215,state,tamil-nadu,2021,2021-04-01,2021-06-30,Huawei,515007,0.02892559662584974
216,state,tamil-nadu,2021,2021-04-01,2021-06-30,Motorola,513680,0.028851065082157127
217,state,tamil-nadu,2021,2021-04-01,2021-06-30,Apple,481336,0.027034449973495526
218,state,tamil-nadu,2021,2021-04-01,2021-06-30,OnePlus,400480,0.022493136863616037
219,state,tamil-nadu,2021,2021-04-01,2021-06-30,Lenovo,375748,0.021104053111840788
220,state,tamil-nadu,2021,2021-04-01,2021-06-30,Others,1467943,0.08244766981369137
221,state,tamil-nadu,2020,2020-01-01,2020-03-31,Xiaomi,2602334,0.23935300939041063
222,state,tamil-nadu,2020,2020-01-01,2020-03-31,Samsung,2037120,0.18736672636540633
223,state,tamil-nadu,2020,2020-01-01,2020-03-31,Vivo,1937792,0.17823090609147887
224,state,tamil-nadu,2020,2020-01-01,2020-03-31,Oppo,1109430,0.10204124805194231
225,state,tamil-nadu,2020,2020-01-01,2020-03-31,Realme,450799,0.041462816563972084
226,state,tamil-nadu,2020,2020-01-01,2020-03-31,Motorola,395956,0.03641856125546891
227,state,tamil-nadu,2020,2020-01-01,2020-03-31,Huawei,370773,0.034102322511526464
228,state,tamil-nadu,2020,2020-01-01,2020-03-31,Apple,333073,0.030634816628723385
229,state,tamil-nadu,2020,2020-01-01,2020-03-31,Lenovo,308388,0.028364382073895952
230,state,tamil-nadu,2020,2020-01-01,2020-03-31,OnePlus,293970,0.027038268020361342
231,state,tamil-nadu,2020,2020-01-01,2020-03-31,Others,1032733,0.09498694304681372
